name,stage1_dolp_mae,stage1_dolp_rmse,stage1_cos_mae,stage1_sin_mae,stage1_cos_sin_vector_error,stage1_weighted_aolp_error_deg,stage1_high_dolp_aolp_error_deg,stage1_dop_mae,stage1_dop_rmse,stage1_aop_mae_deg,stage1_weighted_aop_mae_deg,stage1_high_dop_aop_mae_deg,stage2_dolp_mae,stage2_dolp_rmse,stage2_cos_mae,stage2_sin_mae,stage2_cos_sin_vector_error,stage2_weighted_aolp_error_deg,stage2_high_dolp_aolp_error_deg,stage2_dop_mae,stage2_dop_rmse,stage2_aop_mae_deg,stage2_weighted_aop_mae_deg,stage2_high_dop_aop_mae_deg
scene12_traj1_1__000000,0.03980034589767456,0.07305268198251724,1.0842101573944092,0.6759697198867798,1.3711658716201782,48.64148712158203,45.9185676574707,0.03980034589767456,0.07305268198251724,48.77842330932617,48.64148712158203,45.9185676574707,0.033115971833467484,0.05814060941338539,0.6737663745880127,0.5980086922645569,1.0032821893692017,32.257667541503906,36.086517333984375,0.033115971833467484,0.05814060941338539,33.72621154785156,32.257667541503906,36.086517333984375
scene12_traj1_1__000001,0.03998739272356033,0.07284766435623169,1.0785866975784302,0.6765363216400146,1.3671060800552368,48.404273986816406,45.934669494628906,0.03998739272356033,0.07284766435623169,48.61509323120117,48.404273986816406,45.934669494628906,0.03311679884791374,0.057880181819200516,0.6718034744262695,0.6037200093269348,1.004941463470459,32.40766143798828,36.1856689453125,0.03311679884791374,0.057880181819200516,33.811058044433594,32.40766143798828,36.1856689453125
scene12_traj1_1__000002,0.03981359302997589,0.0732511356472969,1.0833603143692017,0.6759679913520813,1.3701997995376587,48.51765441894531,45.98499298095703,0.03981359302997589,0.0732511356472969,48.72509002685547,48.51765441894531,45.98499298095703,0.03317950293421745,0.058391720056533813,0.6737744212150574,0.6015995144844055,1.0054069757461548,32.36578369140625,36.1060676574707,0.03317950293421745,0.058391720056533813,33.83079147338867,32.36578369140625,36.1060676574707
scene12_traj1_1__000003,0.039286885410547256,0.07288362830877304,1.0846511125564575,0.6720658540725708,1.3685277700424194,48.53496551513672,45.92919921875,0.039286885410547256,0.07288362830877304,48.66268539428711,48.53496551513672,45.92919921875,0.03306012228131294,0.058181989938020706,0.6731974482536316,0.5973196029663086,1.0023672580718994,32.243377685546875,35.99904251098633,0.03306012228131294,0.058181989938020706,33.69854736328125,32.243377685546875,35.99904251098633
scene12_traj1_1__000004,0.039421796798706055,0.07184714078903198,1.0786607265472412,0.677680253982544,1.3674496412277222,48.42348861694336,45.73908615112305,0.039421796798706055,0.07184714078903198,48.62202453613281,48.42348861694336,45.73908615112305,0.03269825503230095,0.05706366151571274,0.6765708327293396,0.6005964279174805,1.007834792137146,32.48081970214844,36.306365966796875,0.03269825503230095,0.05706366151571274,33.930843353271484,32.48081970214844,36.306365966796875
scene12_traj1_1__000005,0.03984641656279564,0.07283848524093628,1.0809285640716553,0.6822580099105835,1.3729089498519897,48.695011138916016,45.8402214050293,0.03984641656279564,0.07283848524093628,48.87708282470703,48.695011138916016,45.8402214050293,0.03311135992407799,0.058079130947589874,0.6776025891304016,0.5986843109130859,1.0077182054519653,32.50548553466797,36.3011360168457,0.03311135992407799,0.058079130947589874,33.9030876159668,32.50548553466797,36.3011360168457
scene12_traj1_1__000006,0.03987272083759308,0.07298694550991058,1.0818859338760376,0.6806546449661255,1.3724851608276367,48.63597106933594,45.84394836425781,0.03987272083759308,0.07298694550991058,48.85115432739258,48.63597106933594,45.84394836425781,0.033073000609874725,0.058213818818330765,0.6765593886375427,0.5989865064620972,1.007001519203186,32.38826370239258,36.09330749511719,0.033073000609874725,0.058213818818330765,33.9049072265625,32.38826370239258,36.09330749511719
scene12_traj1_1__000007,0.03957105800509453,0.0732690840959549,1.0839217901229858,0.6756368279457092,1.3700584173202515,48.5650520324707,45.77942657470703,0.03957105800509453,0.0732690840959549,48.718238830566406,48.5650520324707,45.77942657470703,0.033279940485954285,0.05840016156435013,0.6736812591552734,0.5981788635253906,1.0038152933120728,32.39919662475586,36.47088623046875,0.033279940485954285,0.05840016156435013,33.759185791015625,32.39919662475586,36.47088623046875
scene12_traj1_1__000008,0.039955735206604004,0.07359136641025543,1.0809342861175537,0.6771507859230042,1.3682810068130493,48.5085563659668,45.83822250366211,0.039955735206604004,0.07359136641025543,48.67485427856445,48.5085563659668,45.83822250366211,0.03351324796676636,0.058727066963911057,0.6806251406669617,0.5984691381454468,1.0090787410736084,32.5537109375,36.554908752441406,0.03351324796676636,0.058727066963911057,33.966278076171875,32.5537109375,36.554908752441406
scene12_traj1_1__000009,0.039278168231248856,0.07275144010782242,1.0816280841827393,0.6760839819908142,1.3677504062652588,48.3818244934082,45.77680206298828,0.039278168231248856,0.07275144010782242,48.63468933105469,48.3818244934082,45.77680206298828,0.03337611258029938,0.05864845961332321,0.6784862279891968,0.6006691455841064,1.0091423988342285,32.432865142822266,36.02939224243164,0.03337611258029938,0.05864845961332321,33.951148986816406,32.432865142822266,36.02939224243164
scene12_traj1_1__000010,0.03965092822909355,0.07247596234083176,1.0779117345809937,0.6796081066131592,1.368510127067566,48.38333511352539,45.37692642211914,0.03965092822909355,0.07247596234083176,48.685306549072266,48.38333511352539,45.37692642211914,0.03332563862204552,0.058006126433610916,0.6792805790901184,0.5987077355384827,1.0076587200164795,32.461978912353516,36.17784118652344,0.03332563862204552,0.058006126433610916,33.8990478515625,32.461978912353516,36.17784118652344
scene12_traj1_1__000011,0.039566587656736374,0.07301639020442963,1.0800907611846924,0.6753678321838379,1.3671596050262451,48.37969970703125,45.64049530029297,0.039566587656736374,0.07301639020442963,48.625633239746094,48.37969970703125,45.64049530029297,0.03338237106800079,0.0583149679005146,0.6779151558876038,0.6013468503952026,1.0084584951400757,32.505455017089844,36.27870559692383,0.03338237106800079,0.0583149679005146,33.92310333251953,32.505455017089844,36.27870559692383
scene12_traj1_1__000012,0.03986780717968941,0.07294228672981262,1.076931357383728,0.6745963096618652,1.3640248775482178,48.31309509277344,45.77923583984375,0.03986780717968941,0.07294228672981262,48.494773864746094,48.31309509277344,45.77923583984375,0.03323277831077576,0.05804206058382988,0.6816538572311401,0.6034157276153564,1.013075590133667,32.67821502685547,36.36800003051758,0.03323277831077576,0.05804206058382988,34.12132263183594,32.67821502685547,36.36800003051758
