name,dolp_mae,dolp_rmse,cos_mae,sin_mae,cos_sin_vector_error,weighted_aolp_error_deg,high_dolp_aolp_error_deg,dop_mae,dop_rmse,aop_mae_deg,weighted_aop_mae_deg,high_dop_aop_mae_deg
scene12_traj1_1__000000,0.03248639032244682,0.05758204683661461,0.6478258371353149,0.6248164772987366,0.9928478598594666,32.376304626464844,37.80503463745117,0.03248639032244682,0.05758204683661461,33.40311050415039,32.376304626464844,37.80503463745117
scene12_traj1_1__000001,0.03251532465219498,0.057588838040828705,0.6490417122840881,0.6241613626480103,0.9930843114852905,32.36175537109375,37.6871452331543,0.03251532465219498,0.057588838040828705,33.4213752746582,32.36175537109375,37.6871452331543
scene12_traj1_1__000002,0.03256532922387123,0.05800071731209755,0.6481106877326965,0.6261851191520691,0.9944837093353271,32.40837478637695,37.67374801635742,0.03256532922387123,0.05800071731209755,33.48285675048828,32.40837478637695,37.67374801635742
scene12_traj1_1__000003,0.032475538551807404,0.05784023553133011,0.6475337743759155,0.6226097345352173,0.9907093048095703,32.25813293457031,37.525936126708984,0.032475538551807404,0.05784023553133011,33.33113479614258,32.25813293457031,37.525936126708984
scene12_traj1_1__000004,0.03208208084106445,0.056392788887023926,0.6501550674438477,0.6260058283805847,0.9955654144287109,32.38888931274414,37.50724792480469,0.03208208084106445,0.056392788887023926,33.51808547973633,32.38888931274414,37.50724792480469
scene12_traj1_1__000005,0.032483164221048355,0.057351212948560715,0.6473755836486816,0.6253060698509216,0.9930433034896851,32.298946380615234,37.27768325805664,0.032483164221048355,0.057351212948560715,33.421775817871094,32.298946380615234,37.27768325805664
scene12_traj1_1__000006,0.032404255121946335,0.05740279704332352,0.6497336030006409,0.6263831853866577,0.9955487847328186,32.33979034423828,37.34718704223633,0.032404255121946335,0.05740279704332352,33.513519287109375,32.33979034423828,37.34718704223633
scene12_traj1_1__000007,0.0325525663793087,0.05755901709198952,0.6476871371269226,0.6235431432723999,0.9916598796844482,32.318504333496094,37.54535675048828,0.0325525663793087,0.05755901709198952,33.375221252441406,32.318504333496094,37.54535675048828
scene12_traj1_1__000008,0.03279990330338478,0.05806141719222069,0.6492021083831787,0.6264702081680298,0.9945278763771057,32.34541702270508,37.70832443237305,0.03279990330338478,0.05806141719222069,33.46908187866211,32.34541702270508,37.70832443237305
scene12_traj1_1__000009,0.032657429575920105,0.057793762534856796,0.6498669981956482,0.6262156367301941,0.9953852891921997,32.50284194946289,38.055301666259766,0.032657429575920105,0.057793762534856796,33.51811981201172,32.50284194946289,38.055301666259766
scene12_traj1_1__000010,0.032609231770038605,0.05720898136496544,0.6504926681518555,0.6252134442329407,0.994779646396637,32.47235870361328,37.85250473022461,0.032609231770038605,0.05720898136496544,33.48849105834961,32.47235870361328,37.85250473022461
scene12_traj1_1__000011,0.032693393528461456,0.057599786669015884,0.6501530408859253,0.6260287761688232,0.9952266216278076,32.44466781616211,37.72754669189453,0.032693393528461456,0.057599786669015884,33.49303436279297,32.44466781616211,37.72754669189453
scene12_traj1_1__000012,0.03252481296658516,0.05717102438211441,0.6518284678459167,0.6284018754959106,0.9982375502586365,32.61671829223633,37.914302825927734,0.03252481296658516,0.05717102438211441,33.64928436279297,32.61671829223633,37.914302825927734
