[config] train=5253 val=540 batch=20 visible_gpus=2 data_parallel=True init_checkpoint=/home/hy/twostagenet/checkpoints_direct_unetpp_13168/best_val.pth resume=
epoch 14/80 | train_loss=0.584651 | train_loss_dolp=0.001057 | train_loss_vector=0.160782 | train_loss_aolp=0.694188 | train_loss_lowfreq=0.238344 | train_loss_edge=0.560982 | train_mean_aolp_reliability=0.265525 | val_loss=1.037734 | val_loss_dolp=0.001210 | val_loss_vector=0.329909 | val_loss_aolp=1.219696 | val_loss_lowfreq=0.336817 | val_loss_edge=0.588067 | val_mean_aolp_reliability=0.272024
epoch 15/80 | train_loss=0.583253 | train_loss_dolp=0.001039 | train_loss_vector=0.160298 | train_loss_aolp=0.692717 | train_loss_lowfreq=0.237546 | train_loss_edge=0.560968 | train_mean_aolp_reliability=0.265525 | val_loss=1.130380 | val_loss_dolp=0.001201 | val_loss_vector=0.365923 | val_loss_aolp=1.326040 | val_loss_lowfreq=0.353282 | val_loss_edge=0.591598 | val_mean_aolp_reliability=0.272024
epoch 16/80 | train_loss=0.581264 | train_loss_dolp=0.001024 | train_loss_vector=0.159591 | train_loss_aolp=0.690492 | train_loss_lowfreq=0.236777 | train_loss_edge=0.560948 | train_mean_aolp_reliability=0.265525 | val_loss=1.026185 | val_loss_dolp=0.001154 | val_loss_vector=0.325442 | val_loss_aolp=1.206190 | val_loss_lowfreq=0.335411 | val_loss_edge=0.588232 | val_mean_aolp_reliability=0.272024
epoch 17/80 | train_loss=0.581087 | train_loss_dolp=0.001010 | train_loss_vector=0.159552 | train_loss_aolp=0.690469 | train_loss_lowfreq=0.236217 | train_loss_edge=0.560950 | train_mean_aolp_reliability=0.265525 | val_loss=1.060436 | val_loss_dolp=0.001173 | val_loss_vector=0.338884 | val_loss_aolp=1.248757 | val_loss_lowfreq=0.332528 | val_loss_edge=0.589902 | val_mean_aolp_reliability=0.272024
epoch 18/80 | train_loss=0.580229 | train_loss_dolp=0.000998 | train_loss_vector=0.159260 | train_loss_aolp=0.689523 | train_loss_lowfreq=0.235803 | train_loss_edge=0.560960 | train_mean_aolp_reliability=0.265525 | val_loss=1.034247 | val_loss_dolp=0.001114 | val_loss_vector=0.328504 | val_loss_aolp=1.216819 | val_loss_lowfreq=0.334082 | val_loss_edge=0.588064 | val_mean_aolp_reliability=0.272024
epoch 19/80 | train_loss=0.578593 | train_loss_dolp=0.000982 | train_loss_vector=0.158682 | train_loss_aolp=0.687718 | train_loss_lowfreq=0.235108 | train_loss_edge=0.560956 | train_mean_aolp_reliability=0.265525 | val_loss=1.055369 | val_loss_dolp=0.001092 | val_loss_vector=0.336247 | val_loss_aolp=1.240894 | val_loss_lowfreq=0.340849 | val_loss_edge=0.588264 | val_mean_aolp_reliability=0.272024
epoch 20/80 | train_loss=0.577044 | train_loss_dolp=0.000970 | train_loss_vector=0.158118 | train_loss_aolp=0.685955 | train_loss_lowfreq=0.234649 | train_loss_edge=0.560967 | train_mean_aolp_reliability=0.265525 | val_loss=1.074649 | val_loss_dolp=0.001116 | val_loss_vector=0.344216 | val_loss_aolp=1.263028 | val_loss_lowfreq=0.341752 | val_loss_edge=0.589059 | val_mean_aolp_reliability=0.272024
epoch 21/80 | train_loss=0.577508 | train_loss_dolp=0.000970 | train_loss_vector=0.158284 | train_loss_aolp=0.686582 | train_loss_lowfreq=0.234568 | train_loss_edge=0.560967 | train_mean_aolp_reliability=0.265525 | val_loss=1.099449 | val_loss_dolp=0.001135 | val_loss_vector=0.353751 | val_loss_aolp=1.292653 | val_loss_lowfreq=0.343754 | val_loss_edge=0.589734 | val_mean_aolp_reliability=0.272024
epoch 22/80 | train_loss=0.576342 | train_loss_dolp=0.000963 | train_loss_vector=0.157881 | train_loss_aolp=0.685271 | train_loss_lowfreq=0.234068 | train_loss_edge=0.560971 | train_mean_aolp_reliability=0.265525 | val_loss=1.042177 | val_loss_dolp=0.001181 | val_loss_vector=0.331679 | val_loss_aolp=1.225825 | val_loss_lowfreq=0.334733 | val_loss_edge=0.589145 | val_mean_aolp_reliability=0.272024
epoch 23/80 | train_loss=0.575501 | train_loss_dolp=0.000944 | train_loss_vector=0.157597 | train_loss_aolp=0.684359 | train_loss_lowfreq=0.233652 | train_loss_edge=0.560984 | train_mean_aolp_reliability=0.265525 | val_loss=1.052518 | val_loss_dolp=0.001099 | val_loss_vector=0.335770 | val_loss_aolp=1.239018 | val_loss_lowfreq=0.333369 | val_loss_edge=0.589326 | val_mean_aolp_reliability=0.272024
