name,dolp_mae,dolp_rmse,cos_mae,sin_mae,cos_sin_vector_error,weighted_aolp_error_deg,high_dolp_aolp_error_deg,dop_mae,dop_rmse,aop_mae_deg,weighted_aop_mae_deg,high_dop_aop_mae_deg
scene12_traj1_1__000000,0.03186609223484993,0.055240485817193985,0.6744123697280884,0.6134933829307556,1.0128024816513062,33.012298583984375,37.59086227416992,0.03186609223484993,0.055240485817193985,34.105804443359375,33.012298583984375,37.59086227416992
scene12_traj1_1__000001,0.031920742243528366,0.05528039112687111,0.6720156669616699,0.6101903915405273,1.008088231086731,32.630828857421875,36.71106719970703,0.031920742243528366,0.05528039112687111,33.93516159057617,32.630828857421875,36.71106719970703
scene12_traj1_1__000002,0.03194557502865791,0.055772457271814346,0.6741353869438171,0.6124393939971924,1.0118948221206665,32.84539031982422,37.06932067871094,0.03194557502865791,0.055772457271814346,34.08623123168945,32.84539031982422,37.06932067871094
scene12_traj1_1__000003,0.0318497009575367,0.05554138123989105,0.6724918484687805,0.6104623675346375,1.0093023777008057,32.64849090576172,36.487770080566406,0.0318497009575367,0.05554138123989105,33.96831130981445,32.64849090576172,36.487770080566406
scene12_traj1_1__000004,0.03153270110487938,0.05452229082584381,0.6750675439834595,0.6131764650344849,1.0135339498519897,32.82572937011719,36.54288864135742,0.03153270110487938,0.05452229082584381,34.1473388671875,32.82572937011719,36.54288864135742
scene12_traj1_1__000005,0.031854912638664246,0.05529966577887535,0.6753892302513123,0.6142475008964539,1.0144810676574707,32.893619537353516,36.56392288208008,0.031854912638664246,0.05529966577887535,34.16446304321289,32.893619537353516,36.56392288208008
scene12_traj1_1__000006,0.03186316415667534,0.05552446469664574,0.67543625831604,0.6121135950088501,1.013053059577942,32.771270751953125,36.387908935546875,0.03186316415667534,0.05552446469664574,34.118839263916016,32.771270751953125,36.387908935546875
scene12_traj1_1__000007,0.03202315419912338,0.05569959804415703,0.6745079159736633,0.6113684177398682,1.011606216430664,32.79481506347656,36.69950866699219,0.03202315419912338,0.05569959804415703,34.0606803894043,32.79481506347656,36.69950866699219
scene12_traj1_1__000008,0.03223666176199913,0.055986400693655014,0.6782892942428589,0.6119899749755859,1.014972448348999,32.8739013671875,36.81437683105469,0.03223666176199913,0.055986400693655014,34.18728256225586,32.8739013671875,36.81437683105469
scene12_traj1_1__000009,0.032170604914426804,0.05607820302248001,0.6767987608909607,0.6137205958366394,1.015334963798523,32.98261260986328,37.12289047241211,0.032170604914426804,0.05607820302248001,34.19525146484375,32.98261260986328,37.12289047241211
