name,stage1_dolp_mae,stage1_dolp_rmse,stage1_cos_mae,stage1_sin_mae,stage1_cos_sin_vector_error,stage1_weighted_aolp_error_deg,stage1_high_dolp_aolp_error_deg,stage1_dop_mae,stage1_dop_rmse,stage1_aop_mae_deg,stage1_weighted_aop_mae_deg,stage1_high_dop_aop_mae_deg,stage2_dolp_mae,stage2_dolp_rmse,stage2_cos_mae,stage2_sin_mae,stage2_cos_sin_vector_error,stage2_weighted_aolp_error_deg,stage2_high_dolp_aolp_error_deg,stage2_dop_mae,stage2_dop_rmse,stage2_aop_mae_deg,stage2_weighted_aop_mae_deg,stage2_high_dop_aop_mae_deg
scene12_traj1_1__000000,0.03980034589767456,0.07305268198251724,1.0842101573944092,0.6759697198867798,1.3711658716201782,48.64148712158203,45.9185676574707,0.03980034589767456,0.07305268198251724,48.77842330932617,48.64148712158203,45.9185676574707,0.03980034589767456,0.07305268198251724,0.6642922759056091,0.6081307530403137,1.006162166595459,31.99567985534668,35.350223541259766,0.03980034589767456,0.07305268198251724,33.80162811279297,31.99567985534668,35.350223541259766
scene12_traj1_1__000001,0.03998739272356033,0.07284766435623169,1.0785866975784302,0.6765363216400146,1.3671060800552368,48.404273986816406,45.934669494628906,0.03998739272356033,0.07284766435623169,48.61509323120117,48.404273986816406,45.934669494628906,0.03998739272356033,0.07284766435623169,0.6590623259544373,0.6095097064971924,1.0025960206985474,31.913585662841797,35.45612716674805,0.03998739272356033,0.07284766435623169,33.68962860107422,31.913585662841797,35.45612716674805
scene12_traj1_1__000002,0.03981359302997589,0.0732511356472969,1.0833603143692017,0.6759679913520813,1.3701997995376587,48.51765441894531,45.98499298095703,0.03981359302997589,0.0732511356472969,48.72509002685547,48.51765441894531,45.98499298095703,0.03981359302997589,0.0732511356472969,0.6614773869514465,0.6100673079490662,1.0052540302276611,31.971393585205078,35.36735153198242,0.03981359302997589,0.0732511356472969,33.80194091796875,31.971393585205078,35.36735153198242
scene12_traj1_1__000003,0.039286885410547256,0.07288362830877304,1.0846511125564575,0.6720658540725708,1.3685277700424194,48.53496551513672,45.92919921875,0.039286885410547256,0.07288362830877304,48.66268539428711,48.53496551513672,45.92919921875,0.039286885410547256,0.07288362830877304,0.662958562374115,0.6055691838264465,1.0036522150039673,31.885475158691406,35.2061767578125,0.039286885410547256,0.07288362830877304,33.71724319458008,31.885475158691406,35.2061767578125
scene12_traj1_1__000004,0.039421796798706055,0.07184714078903198,1.0786607265472412,0.677680253982544,1.3674496412277222,48.42348861694336,45.73908615112305,0.039421796798706055,0.07184714078903198,48.62202453613281,48.42348861694336,45.73908615112305,0.039421796798706055,0.07184714078903198,0.6680712699890137,0.6105988025665283,1.010787844657898,32.15500259399414,35.45368957519531,0.039421796798706055,0.07184714078903198,33.999053955078125,32.15500259399414,35.45368957519531
scene12_traj1_1__000005,0.03984641656279564,0.07283848524093628,1.0809285640716553,0.6822580099105835,1.3729089498519897,48.695011138916016,45.8402214050293,0.03984641656279564,0.07283848524093628,48.87708282470703,48.695011138916016,45.8402214050293,0.03984641656279564,0.07283848524093628,0.6649872064590454,0.6096649765968323,1.0082145929336548,32.072505950927734,35.35184860229492,0.03984641656279564,0.07283848524093628,33.89072799682617,32.072505950927734,35.35184860229492
scene12_traj1_1__000006,0.03987272083759308,0.07298694550991058,1.0818859338760376,0.6806546449661255,1.3724851608276367,48.63597106933594,45.84394836425781,0.03987272083759308,0.07298694550991058,48.85115432739258,48.63597106933594,45.84394836425781,0.03987272083759308,0.07298694550991058,0.6657705903053284,0.6079843044281006,1.007633090019226,32.022666931152344,35.318031311035156,0.03987272083759308,0.07298694550991058,33.890953063964844,32.022666931152344,35.318031311035156
scene12_traj1_1__000007,0.03957105800509453,0.0732690840959549,1.0839217901229858,0.6756368279457092,1.3700584173202515,48.5650520324707,45.77942657470703,0.03957105800509453,0.0732690840959549,48.718238830566406,48.5650520324707,45.77942657470703,0.03957105800509453,0.0732690840959549,0.6641207933425903,0.6074453592300415,1.0061525106430054,32.088836669921875,35.764034271240234,0.03957105800509453,0.0732690840959549,33.81704330444336,32.088836669921875,35.764034271240234
scene12_traj1_1__000008,0.039955735206604004,0.07359136641025543,1.0809342861175537,0.6771507859230042,1.3682810068130493,48.5085563659668,45.83822250366211,0.039955735206604004,0.07359136641025543,48.67485427856445,48.5085563659668,45.83822250366211,0.039955735206604004,0.07359136641025543,0.6657018065452576,0.6080701351165771,1.0076826810836792,32.03898620605469,35.61312484741211,0.039955735206604004,0.07359136641025543,33.861724853515625,32.03898620605469,35.61312484741211
scene12_traj1_1__000009,0.039278168231248856,0.07275144010782242,1.0816280841827393,0.6760839819908142,1.3677504062652588,48.3818244934082,45.77680206298828,0.039278168231248856,0.07275144010782242,48.63468933105469,48.3818244934082,45.77680206298828,0.039278168231248856,0.07275144010782242,0.6659619808197021,0.6086678504943848,1.0085707902908325,32.139373779296875,35.7063102722168,0.039278168231248856,0.07275144010782242,33.90450668334961,32.139373779296875,35.7063102722168
scene12_traj1_1__000010,0.03965092822909355,0.07247596234083176,1.0779117345809937,0.6796081066131592,1.368510127067566,48.38333511352539,45.37692642211914,0.03965092822909355,0.07247596234083176,48.685306549072266,48.38333511352539,45.37692642211914,0.03965092822909355,0.07247595489025116,0.6652843952178955,0.6082313060760498,1.0070289373397827,32.06417465209961,35.45073699951172,0.03965092822909355,0.07247595489025116,33.82938766479492,32.06417465209961,35.45073699951172
scene12_traj1_1__000011,0.039566587656736374,0.07301639020442963,1.0800907611846924,0.6753678321838379,1.3671596050262451,48.37969970703125,45.64049530029297,0.039566587656736374,0.07301639020442963,48.625633239746094,48.37969970703125,45.64049530029297,0.039566587656736374,0.07301639020442963,0.6621618270874023,0.6089938282966614,1.0052059888839722,31.97555923461914,35.34209060668945,0.039566587656736374,0.07301639020442963,33.775115966796875,31.97555923461914,35.34209060668945
scene12_traj1_1__000012,0.03986780717968941,0.07294228672981262,1.076931357383728,0.6745963096618652,1.3640248775482178,48.31309509277344,45.77923583984375,0.03986780717968941,0.07294228672981262,48.494773864746094,48.31309509277344,45.77923583984375,0.03986780717968941,0.07294228672981262,0.6649678349494934,0.6142019629478455,1.0107752084732056,32.195777893066406,35.516300201416016,0.03986780717968941,0.07294228672981262,33.99824142456055,32.195777893066406,35.516300201416016
